work_id,author_name,author_lower,min_distance,matched_researcher
https://openalex.org/W4394910354,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W4394910354,Sarah K. Thomsen,sarah k. thomsen,0.06250000000000006,Sarah Thomsen
https://openalex.org/W4394910354,Phoebe L. Zarnetske,phoebe l. zarnetske,0.05263157894736849,Phoebe Zarnetske
https://openalex.org/W4252311142,Melissa A. Genazzio,melissa a. genazzio,0.09429824561403516,Melissa Genazzio
https://openalex.org/W3204278181,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W4308516213,John D. Parker,john d. parker,0.07142857142857152,John Parker
https://openalex.org/W4313322255,A Bailey,a bailey,0.09090909090909088,Ezra Bailey
https://openalex.org/W4385270908,Sara H. Paull,sara h. paull,0.076923076923077,Sara Paull
https://openalex.org/W4303475945,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W4303475945,Phoebe L. Zarnetske,phoebe l. zarnetske,0.05263157894736849,Phoebe Zarnetske
https://openalex.org/W4303475945,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W4391338261,Benjamin Baiser,benjamin baiser,5.551115123125783e-17,Benjamin Baiser
https://openalex.org/W4236011733,Jeffrey Welker,jeffrey welker,0.09523809523809525,Jeffrey Wesner
https://openalex.org/W4255665638,Jeffrey Welker,jeffrey welker,0.09523809523809525,Jeffrey Wesner
https://openalex.org/W2957282111,Benjamin Brede,benjamin brede,0.0992063492063492,Benjamin Lee
https://openalex.org/W2890488408,Eugene F. Kelly,eugene f. kelly,0.06666666666666678,Eugene Kelly
